deal_id,account,rep,stage,amount,actual_revenue,close_date,forecast_quarter,days_since_activity,engagement_score,has_economic_buyer,email_opens_14d,meetings_30d,stakeholders,notes,rep_forecast_amount,is_open
D-2001,Snowflake Analytics Integration,Meera Nair,Closed Lost,311000,0,2/25/2026,2026-Q1,50,0.29,0,4,0,2,Executive champion resigned last week. Need urgent re-threading to new VP Product.,380000,0
D-2002,Tata Consultancy Global IT,Ananya Shah,Closed Won,117000,117000,1/25/2026,2026-Q1,8,0.74,1,16,5,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,117000,0
D-2003,Flipkart Q4 Big Billion Cloud,Arjun Verma,Closed Won,67000,67000,3/20/2026,2026-Q1,4,0.82,1,11,3,3,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,67000,0
D-2004,Stripe Payments API Gateway,Vivek Rao,Closed Won,242000,242000,1/27/2026,2026-Q1,5,0.89,1,8,6,1,Executive champion resigned last week. Need urgent re-threading to new VP Product.,242000,0
D-2005,Swiggy Delivery Routing Engine,Rahul Sharma,Closed Lost,39000,0,1/14/2026,2026-Q1,20,0.4,0,1,1,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,39000,0
D-2006,Bharti Airtel 5G Core OSS,Arjun Verma,Closed Lost,290000,0,1/12/2026,2026-Q1,29,0.3,1,4,2,1,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,347000,0
D-2007,Swiggy Delivery Routing Engine,Meera Nair,Closed Lost,394000,0,2/14/2026,2026-Q1,25,0.4,1,4,2,2,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,475000,0
D-2008,Paytm Merchant Gateway Sync,Ishita Rao,Closed Lost,106000,0,1/27/2026,2026-Q1,37,0.19,0,3,0,5,Executive champion resigned last week. Need urgent re-threading to new VP Product.,98000,0
D-2009,Amazon Web Services Migration,Ananya Shah,Closed Won,382000,382000,2/24/2026,2026-Q1,2,0.91,1,12,4,2,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,382000,0
D-2010,Oracle Cloud Database Engine,Priya Patil,Closed Lost,198000,0,2/24/2026,2026-Q1,29,0.23,0,0,2,5,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,195000,0
D-2011,Stripe Payments API Gateway,Neha Desai,Closed Lost,276000,0,1/19/2026,2026-Q1,52,0.32,0,2,0,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,312000,0
D-2012,Flipkart Q4 Big Billion Cloud,Vivek Rao,Closed Lost,416000,0,2/13/2026,2026-Q1,27,0.17,1,0,0,3,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,406000,0
D-2013,Snowflake Analytics Integration,Ananya Shah,Closed Lost,386000,0,3/27/2026,2026-Q1,53,0.3,0,1,1,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,459000,0
D-2014,Wipro Cybersecurity Upgrade,Arjun Verma,Closed Lost,158000,0,3/20/2026,2026-Q1,37,0.21,0,1,0,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,191000,0
D-2015,Amazon Web Services Migration,Arjun Verma,Closed Won,398000,398000,1/23/2026,2026-Q1,2,0.77,1,15,3,4,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,398000,0
D-2016,Infosys AI Workstation Pilot,Meera Nair,Closed Lost,447000,0,1/24/2026,2026-Q1,35,0.17,1,0,2,3,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,536000,0
D-2017,Cisco Unified Comms Modernize,Amit Kulkarni,Closed Lost,248000,0,1/16/2026,2026-Q1,40,0.15,0,4,0,2,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",233000,0
D-2018,Bharti Airtel 5G Core OSS,Ishita Rao,Closed Lost,413000,0,3/26/2026,2026-Q1,20,0.28,0,4,2,2,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,502000,0
D-2019,Oracle Cloud Database Engine,Meera Nair,Closed Lost,205000,0,1/13/2026,2026-Q1,26,0.3,1,3,0,1,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,249000,0
D-2020,Bharti Airtel 5G Core OSS,Meera Nair,Closed Lost,348000,0,2/26/2026,2026-Q1,43,0.45,0,0,0,1,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,387000,0
D-2021,MongoDB Atlas Migration,Karan Mehta,Closed Won,405000,405000,1/20/2026,2026-Q1,7,0.91,1,16,6,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,405000,0
D-2022,Workday Global HRIS,Karan Mehta,Closed Lost,275000,0,1/18/2026,2026-Q1,28,0.27,0,3,1,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,271000,0
D-2023,PwC Enterprise Assurance,Neha Desai,Closed Won,194000,194000,2/28/2026,2026-Q1,2,0.84,1,14,4,5,Executive champion resigned last week. Need urgent re-threading to new VP Product.,194000,0
D-2024,Bosch Smart Mobility,Ananya Shah,Closed Lost,170000,0,1/21/2026,2026-Q1,37,0.17,0,1,2,4,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,204000,0
D-2025,Sun Pharma R&D,Vivek Rao,Closed Won,153000,153000,1/15/2026,2026-Q1,3,0.72,1,15,6,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,153000,0
D-2026,Okta Identity Cloud,Karan Mehta,Closed Lost,407000,0,3/25/2026,2026-Q1,43,0.33,0,1,2,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,397000,0
D-2027,Cognizant Digital Core,Vivek Rao,Closed Lost,58000,0,2/21/2026,2026-Q1,18,0.18,1,3,1,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,53000,0
